,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('C3', 'Cz')",0.0,-0.40572408493165646,0.40572408493165646,-0.586323012936955,-0.27816089013189993,beta1
"('Fp2', 'F8')",0.0,-0.4044920567842256,0.4044920567842256,-0.46159681713578327,-0.27630868494814165,beta1
"('F3', 'Cz')",2e-05,-0.4025891221770877,0.4025891221770877,-0.45344906726533996,-0.32696116281012616,beta2
"('Fp2', 'F7')",0.0,-0.40222655308381305,0.40222655308381305,-0.4789757465472819,-0.3293805695323858,alpha1
"('T6', 'C4')",0.0,0.40088026128940646,0.40088026128940646,0.2825447281115483,0.5037531725449997,alpha1
"('Fz', 'C3')",0.0,-0.40072988983920793,0.40072988983920793,-0.5069251496293241,-0.26058990404457893,beta1
"('F4', 'T4')",0.0,-0.40072641750822713,0.40072641750822713,-0.4874710130174984,-0.23697262411448908,gamma
"('Fp2', 'Cz')",0.00016,-0.40034480344166967,0.40034480344166967,-0.4942587995916873,-0.3387698256236038,delta
"('O2', 'Cz')",0.0,0.3994581855122673,0.3994581855122673,0.3292958853464837,0.47408031087236985,beta2
"('Fp1', 'C3')",0.0,-0.39813746760461993,0.39813746760461993,-0.4761100645459932,-0.247749553120643,alpha2
"('O2', 'C4')",0.0,0.39636343500595317,0.39636343500595317,0.22841396311102682,0.49748473722252584,alpha1
"('Fp1', 'T3')",5.9999999999999995e-05,-0.39558258683796915,0.39558258683796915,-0.5130445947926517,-0.31181814327070273,delta
"('Fz', 'F4')",5.9999999999999995e-05,-0.3951203790820357,0.3951203790820357,-0.5393664777479893,-0.2685288333540189,theta
"('Fp2', 'C4')",0.00016,-0.39492229996294065,0.39492229996294065,-0.503729938289318,-0.3274481612480949,delta
"('T3', 'P3')",2e-05,-0.3941094900083041,0.3941094900083041,-0.5557985141591957,-0.2512228621975273,beta2
"('F7', 'Fz')",0.0,-0.39333972488119223,0.39333972488119223,-0.47545417858095107,-0.32990396938730226,beta1
"('Fp2', 'Cz')",0.0001,-0.39296918524188645,0.39296918524188645,-0.46744664086785936,-0.3133903167618852,beta2
"('T5', 'O1')",0.0,-0.3915026874695972,0.3915026874695972,-0.5088034981189054,-0.29924908511659654,gamma
"('F7', 'C4')",0.00072,0.39120250541021206,0.39120250541021206,0.24071969654901326,0.4882827471036791,gamma
